,ID,Account_Length,X_Percentage,C_Percentage,Avg_Months_Overdue,Label
0,5001711,0.05,0.25,0.0,0.16666666666666666,0
1,5001712,0.3,0.0,0.47368421052631576,0.16666666666666666,1
2,5001713,0.35,1.0,0.0,0.0,0
3,5001714,0.23333333333333334,1.0,0.0,0.0,0
4,5001715,0.9833333333333333,1.0,0.0,0.0,0
5,5001717,0.35,0.0,0.22727272727272727,0.16666666666666666,0
6,5001718,0.6333333333333333,0.2564102564102564,0.07692307692307693,0.1794871794871795,0
7,5001719,0.7,0.0,0.9534883720930233,0.16666666666666666,1
8,5001720,0.5833333333333334,0.0,0.0,0.19907407407407407,0
9,5001723,0.5,0.7419354838709677,0.0,0.16666666666666666,0
10,5001724,0.5,0.2903225806451613,0.7096774193548387,0.0,1
11,5001725,0.11666666666666667,0.125,0.0,0.16666666666666666,0
12,5001726,0.6333333333333333,0.0,0.8461538461538461,0.16666666666666666,1
13,5001728,0.0,0.0,0.0,0.16666666666666666,0
14,5001729,0.1,0.0,0.14285714285714285,0.16666666666666666,0
15,5001730,1.0,0.0,0.9180327868852459,0.16666666666666666,1
16,5001731,0.16666666666666666,1.0,0.0,0.0,0
17,5001732,0.5833333333333334,1.0,0.0,0.0,0
18,5001733,0.16666666666666666,1.0,0.0,0.0,0
19,5001734,0.03333333333333333,0.0,0.0,0.16666666666666666,0
20,5001735,0.38333333333333336,0.0,0.9583333333333334,0.16666666666666666,1
21,5001736,0.38333333333333336,0.0,0.8333333333333334,0.16666666666666666,1
22,5001737,0.35,0.0,0.45454545454545453,0.16666666666666666,1
23,5001738,0.7166666666666667,0.0,0.7272727272727273,0.16666666666666666,1
24,5001739,0.95,0.0,0.7931034482758621,0.16666666666666666,1
25,5001742,0.7666666666666667,0.02127659574468085,0.7659574468085106,0.16666666666666666,1
26,5001743,0.6666666666666666,0.34146341463414637,0.6341463414634146,0.16666666666666666,1
27,5001744,0.4666666666666667,0.0,0.8275862068965517,0.16666666666666666,1
28,5001745,0.16666666666666666,0.09090909090909091,0.0,0.16666666666666666,0
29,5001746,0.18333333333333332,0.08333333333333333,0.0,0.16666666666666666,0
30,5001747,0.45,0.0,0.42857142857142855,0.16666666666666666,1
31,5001748,0.55,0.0,0.8235294117647058,0.16666666666666666,1
32,5001754,0.18333333333333332,0.9166666666666666,0.0,0.16666666666666666,0
33,5001755,0.16666666666666666,0.0,0.5454545454545454,0.16666666666666666,1
