,ID,Account_Length,X_Percentage,C_Percentage,Avg_Months_Overdue,Credit_Status
0,5001711,0.05,0.25,0.0,0.16666666666666666,Good
1,5001713,0.35,1.0,0.0,0.0,Good
2,5001714,0.23333333333333334,1.0,0.0,0.0,Good
3,5001717,0.35,0.0,0.22727272727272727,0.16666666666666666,Good
4,5001718,0.6333333333333333,0.2564102564102564,0.07692307692307693,0.1794871794871795,Good
5,5001720,0.5833333333333334,0.0,0.0,0.19907407407407407,Bad
6,5001723,0.5,0.7419354838709677,0.0,0.16666666666666666,Good
7,5001724,0.5,0.2903225806451613,0.7096774193548387,0.0,Good
8,5001726,0.6333333333333333,0.0,0.8461538461538461,0.16666666666666666,Good
9,5001729,0.1,0.0,0.14285714285714285,0.16666666666666666,Good
10,5001730,1.0,0.0,0.9180327868852459,0.16666666666666666,Good
11,5001731,0.16666666666666666,1.0,0.0,0.0,Good
12,5001732,0.5833333333333334,1.0,0.0,0.0,Good
13,5001733,0.16666666666666666,1.0,0.0,0.0,Good
14,5001734,0.03333333333333333,0.0,0.0,0.16666666666666666,Good
15,5001735,0.38333333333333336,0.0,0.9583333333333334,0.16666666666666666,Good
16,5001736,0.38333333333333336,0.0,0.8333333333333334,0.16666666666666666,Good
17,5001737,0.35,0.0,0.45454545454545453,0.16666666666666666,Good
18,5001738,0.7166666666666667,0.0,0.7272727272727273,0.16666666666666666,Good
19,5001739,0.95,0.0,0.7931034482758621,0.16666666666666666,Good
20,5001742,0.7666666666666667,0.02127659574468085,0.7659574468085106,0.16666666666666666,Good
21,5001743,0.6666666666666666,0.34146341463414637,0.6341463414634146,0.16666666666666666,Good
22,5001744,0.4666666666666667,0.0,0.8275862068965517,0.16666666666666666,Good
23,5001745,0.16666666666666666,0.09090909090909091,0.0,0.16666666666666666,Good
24,5001746,0.18333333333333332,0.08333333333333333,0.0,0.16666666666666666,Good
25,5001747,0.45,0.0,0.42857142857142855,0.16666666666666666,Good
26,5001748,0.55,0.0,0.8235294117647058,0.16666666666666666,Good
27,5001754,0.18333333333333332,0.9166666666666666,0.0,0.16666666666666666,Good
28,5001755,0.16666666666666666,0.0,0.5454545454545454,0.16666666666666666,Good
29,5001756,0.3,0.10526315789473684,0.8421052631578947,0.16666666666666666,Good
30,5001757,0.3333333333333333,0.3333333333333333,0.0,0.17857142857142858,Good
31,5001758,0.7666666666666667,0.48936170212765956,0.0,0.16666666666666666,Good
32,5001759,0.31666666666666665,0.05,0.2,0.16666666666666666,Good
33,5001760,0.48333333333333334,0.0,0.8,0.16666666666666666,Good
34,5001765,0.5166666666666667,0.0,0.8125,0.16666666666666666,Good
35,5001767,0.23333333333333334,0.8666666666666667,0.0,0.16666666666666666,Good
36,5001768,0.11666666666666667,0.125,0.0,0.16666666666666666,Good
37,5001769,0.26666666666666666,0.35294117647058826,0.0,0.16666666666666666,Good
38,5001770,0.26666666666666666,0.35294117647058826,0.0,0.16666666666666666,Good
39,5001771,0.23333333333333334,0.06666666666666667,0.0,0.16666666666666666,Good
40,5001772,0.36666666666666664,0.0,0.0,0.16666666666666666,Good
41,5001773,0.38333333333333336,0.0,0.2916666666666667,0.16666666666666666,Good
42,5001774,0.43333333333333335,0.0,0.9259259259259259,0.16666666666666666,Good
43,5001778,0.5833333333333334,1.0,0.0,0.0,Good
44,5001779,0.75,1.0,0.0,0.0,Good
45,5001780,0.75,1.0,0.0,0.0,Good
46,5001782,0.08333333333333333,0.0,0.0,0.16666666666666666,Good
47,5001783,0.31666666666666665,0.3,0.0,0.16666666666666666,Good
48,5001784,0.21666666666666667,0.21428571428571427,0.0,0.16666666666666666,Good
49,5001785,0.21666666666666667,0.5714285714285714,0.0,0.16666666666666666,Good
50,5001786,0.9666666666666667,0.0,0.6440677966101694,0.17460317460317462,Good
51,5001787,0.2833333333333333,1.0,0.0,0.0,Good
52,5001788,0.2833333333333333,1.0,0.0,0.0,Good
53,5001789,0.5333333333333333,0.3333333333333333,0.6666666666666666,0.0,Good
54,5001791,0.38333333333333336,0.08333333333333333,0.0,0.16666666666666666,Good
55,5001792,0.4,0.04,0.0,0.1875,Good
56,5001793,0.43333333333333335,0.0,0.0,0.20987654320987656,Bad
57,5001794,0.5833333333333334,0.0,0.75,0.16666666666666666,Good
58,5001795,0.6166666666666667,1.0,0.0,0.0,Good
59,5001796,0.6666666666666666,1.0,0.0,0.0,Good
60,5001798,0.95,0.034482758620689655,0.896551724137931,0.16666666666666666,Good
61,5001800,0.05,0.0,0.0,0.16666666666666666,Good
62,5001805,0.36666666666666664,0.0,0.8260869565217391,0.16666666666666666,Good
63,5001806,0.5666666666666667,0.0,0.6571428571428571,0.16666666666666666,Good
64,5001807,0.7833333333333333,0.0,0.7708333333333334,0.16666666666666666,Good
65,5001812,0.36666666666666664,0.0,0.0,0.16666666666666666,Good
66,5001813,0.18333333333333332,1.0,0.0,0.0,Good
67,5001816,0.18333333333333332,0.08333333333333333,0.0,0.1818181818181818,Good
68,5001817,0.16666666666666666,0.36363636363636365,0.0,0.21428571428571427,Bad
69,5001818,0.95,0.06896551724137931,0.8275862068965517,0.16666666666666666,Good
70,5001819,0.7,1.0,0.0,0.0,Good
71,5001820,0.18333333333333332,0.0,0.8333333333333334,0.16666666666666666,Good
72,5001821,0.13333333333333333,0.6666666666666666,0.0,0.16666666666666666,Good
73,5001823,0.11666666666666667,0.0,0.0,0.16666666666666666,Good
74,5001824,0.6166666666666667,0.0,0.0,0.16666666666666666,Good
75,5001827,0.8833333333333333,1.0,0.0,0.0,Good
76,5001828,0.13333333333333333,0.0,0.0,0.16666666666666666,Good
77,5001829,0.45,0.5,0.0,0.16666666666666666,Good
78,5001830,0.15,0.0,0.9,0.16666666666666666,Good
79,5001831,0.36666666666666664,0.0,0.0,0.16666666666666666,Good
80,5001832,0.45,0.0,0.8214285714285714,0.16666666666666666,Good
81,5001833,0.5333333333333333,0.0,0.8787878787878788,0.16666666666666666,Good
82,5001836,0.6166666666666667,0.3157894736842105,0.0,0.1794871794871795,Good
83,5001837,0.95,0.0,0.7586206896551724,0.16666666666666666,Good
84,5001839,0.25,0.0,0.4375,0.16666666666666666,Good
